line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
0, start, beginner,O,G,W,G,W,Y,Y,Y,W,O,O,B,Y,G,B,R,W,W,R,R,R,R,R,B,O,R,R,G,W,Y,Y,O,W,Y,G,G,B,R,G,B,Y,O,O,B,G,W,W,Y,O,B,G,B,O,B
0, intermediate, beginner,O,G,W,G,W,Y,G,R,B,W,W,R,B,G,Y,B,O,O,R,R,R,R,R,B,Y,G,G,G,W,Y,Y,O,W,O,R,R,W,Y,Y,B,Y,O,O,B,G,W,W,Y,O,B,G,B,O,B
0, intermediate, beginner,O,G,W,G,W,Y,G,R,B,W,W,R,B,G,Y,G,B,R,R,R,W,R,R,W,Y,G,Y,B,W,Y,O,O,W,O,R,R,Y,O,G,Y,Y,B,W,B,O,O,Y,G,O,B,G,B,O,B
0, intermediate, beginner,O,G,R,G,W,Y,G,R,R,W,W,G,B,G,B,G,B,O,Y,R,R,G,R,R,Y,W,W,B,W,Y,O,O,W,O,R,R,Y,O,G,Y,Y,G,W,B,B,O,Y,W,O,B,Y,B,O,B
0, intermediate, beginner,G,G,O,R,W,G,R,Y,R,Y,G,Y,B,G,B,G,B,O,B,R,R,O,R,R,B,W,W,B,W,W,O,O,W,O,R,G,Y,O,G,Y,Y,G,W,B,B,O,Y,W,O,B,Y,R,W,Y
0, intermediate, beginner,G,G,W,R,W,Y,R,Y,Y,Y,G,O,B,G,G,G,B,R,R,R,W,R,R,W,B,O,B,B,W,W,O,O,W,O,R,G,Y,O,Y,Y,Y,B,W,B,O,O,Y,G,O,B,G,R,W,B
0, intermediate, beginner,G,G,W,R,W,Y,Y,O,Y,R,B,G,G,G,B,O,G,Y,R,R,W,R,R,W,O,R,G,B,W,W,O,O,W,B,O,B,Y,Y,R,Y,Y,B,W,B,O,O,Y,G,O,B,G,R,W,B
0, intermediate, beginner,G,G,W,R,W,Y,Y,O,Y,R,B,G,G,G,B,G,W,W,R,R,O,R,R,Y,O,R,G,O,W,W,G,O,W,Y,O,B,R,B,O,Y,Y,B,Y,Y,W,B,O,B,O,B,G,R,W,B
0, intermediate, beginner,Y,R,G,O,W,G,Y,Y,W,O,R,R,G,G,B,G,W,W,R,R,O,W,R,Y,B,R,G,O,W,R,G,O,B,Y,O,G,R,B,O,Y,Y,B,Y,Y,W,B,O,B,O,B,G,B,W,W
0, intermediate, beginner,Y,R,G,O,W,G,O,B,R,W,W,G,B,G,G,R,R,O,R,R,O,W,R,Y,Y,O,G,O,W,R,G,O,B,B,R,G,W,Y,Y,Y,Y,B,Y,Y,W,B,O,B,O,B,G,B,W,W
0, intermediate, beginner,Y,R,G,O,W,G,O,B,R,W,W,G,B,G,G,G,Y,O,R,R,B,W,R,O,Y,O,B,R,W,R,R,O,B,O,R,G,Y,B,W,Y,Y,Y,W,Y,Y,B,G,O,O,B,G,B,W,W
0, intermediate, beginner,Y,R,G,O,W,G,Y,O,B,G,G,O,W,G,Y,W,B,G,R,R,B,W,R,O,W,B,Y,R,W,R,R,O,B,O,B,R,G,R,O,Y,Y,Y,W,Y,Y,B,G,O,O,B,G,B,W,W
0, intermediate, beginner,Y,R,O,O,W,Y,Y,O,G,G,G,O,W,G,Y,W,B,Y,W,W,R,B,R,R,Y,O,B,R,W,R,R,O,B,O,B,R,G,R,O,Y,Y,G,W,Y,W,B,G,G,O,B,G,B,W,B
0, intermediate, beginner,Y,O,Y,O,W,R,G,Y,O,Y,B,W,W,G,Y,W,B,Y,B,W,R,W,R,R,B,O,B,R,W,G,R,O,G,O,B,O,G,R,O,Y,Y,G,W,Y,W,B,G,G,O,B,G,R,B,R
0, intermediate, beginner,Y,O,G,O,W,G,G,Y,R,Y,B,Y,W,G,R,W,B,O,R,R,B,W,R,O,B,W,B,R,W,G,R,O,G,O,B,O,G,R,W,Y,Y,Y,W,Y,Y,B,G,O,O,B,G,R,B,W
0, intermediate, beginner,Y,O,G,O,W,G,W,R,G,O,B,W,R,G,W,Y,B,Y,R,R,B,W,R,O,O,B,O,R,W,G,R,O,G,B,W,B,R,Y,G,Y,Y,Y,W,Y,Y,B,G,O,O,B,G,R,B,W
0, checkpoint, beginner,Y,O,G,O,W,G,W,R,G,O,B,W,R,G,W,O,G,B,R,R,B,W,R,R,O,B,R,O,W,G,O,O,G,B,W,B,Y,Y,W,Y,Y,Y,G,Y,R,Y,B,Y,O,B,G,R,B,W
0, intermediate, beginner,G,R,W,G,W,O,G,O,Y,W,B,R,R,G,W,O,G,B,B,R,B,G,R,R,G,B,R,O,W,O,O,O,W,B,W,R,Y,Y,W,Y,Y,Y,G,Y,R,Y,B,Y,O,B,G,W,B,O
0, intermediate, beginner,G,R,Y,G,W,G,G,O,O,W,B,W,R,G,O,O,G,Y,B,R,R,R,R,B,B,G,G,O,W,O,O,O,W,B,W,R,Y,Y,R,Y,Y,W,G,Y,B,Y,B,W,O,B,Y,W,B,R
