index1,line,cp,algo,x,y
0,L0, start, beginner,-49.11252,35.416534
1,L0, intermediate, beginner,-48.902344,35.7977
2,L0, intermediate, beginner,-48.297485,36.873234
3,L0, intermediate, beginner,-48.383533,37.344147
4,L0, intermediate, beginner,-47.95605,38.030025
5,L0, intermediate, beginner,-47.171543,37.944786
6,L0, intermediate, beginner,-45.817726,38.40397
7,L0, intermediate, beginner,-44.88396,38.691925
8,L0, intermediate, beginner,-43.93332,38.918488
9,L0, intermediate, beginner,-42.548744,39.10243
10,L0, intermediate, beginner,-41.920376,39.156967
11,L0, intermediate, beginner,-40.074566,39.597645
12,L0, intermediate, beginner,-39.706474,39.733154
13,L0, intermediate, beginner,-39.06061,38.913597
14,L0, intermediate, beginner,-39.319412,38.68028
15,L0, intermediate, beginner,-4.69945,22.539843
16,L0, checkpoint, beginner,-4.31995,22.126234
17,L0, intermediate, beginner,-4.098669,19.440863
18,L0, intermediate, beginner,-3.7518325,18.6565
19,L0, intermediate, beginner,-2.053112,18.789839
20,L0, intermediate, beginner,-1.9717412,18.857307
21,L0, intermediate, beginner,-3.994522,19.116676
22,L0, intermediate, beginner,-4.2493267,19.959217
23,L0, intermediate, beginner,-3.4933243,21.63175
24,L0, intermediate, beginner,-1.2604525,21.940172
25,L0, intermediate, beginner,-0.91823417,22.026556
26,L0, intermediate, beginner,0.6849159,20.89404
27,L0, intermediate, beginner,0.92356277,20.31408
28,L0, intermediate, beginner,3.191467,17.963621
29,L0, intermediate, beginner,3.632357,17.988426
30,L0, intermediate, beginner,1.8136845,19.56492
31,L0, intermediate, beginner,1.4017651,18.595518
32,L0, intermediate, beginner,2.853797,17.69805
33,L0, intermediate, beginner,0.9786178,16.245989
34,L0, intermediate, beginner,0.72602016,16.919441
35,L0, intermediate, beginner,1.1482667,17.949038
36,L0, intermediate, beginner,23.473782,-29.495657
37,L0, intermediate, beginner,29.844154,-22.23397
38,L0, intermediate, beginner,34.36742,11.787304
39,L0, intermediate, beginner,31.510466,10.54405
40,L0, intermediate, beginner,39.920795,9.063888
41,L0, intermediate, beginner,41.888832,9.410557
42,L0, intermediate, beginner,21.681072,-3.8498936
43,L0, intermediate, beginner,36.076263,2.6364665
